,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
0,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-01,0.0,78.0,87.0,68.0
1,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-02,0.0,81.0,87.0,67.0
2,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-03,0.0,80.0,82.0,71.0
3,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-04,0.0,82.0,86.0,68.0
4,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-05,0.0,76.0,87.0,65.0
5,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-06,0.0,80.0,87.0,68.0
6,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-07,0.0,78.0,83.0,67.0
7,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-08,0.0,77.0,87.0,64.0
8,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-09,0.0,78.0,87.0,67.0
9,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-10,0.0,76.0,87.0,68.0
10,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-11,0.0,79.0,89.0,69.0
11,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-12,0.0,84.0,87.0,74.0
12,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-13,0.0,79.0,86.0,73.0
13,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-14,0.0,80.0,87.0,69.0
14,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-15,0.0,77.0,89.0,70.0
15,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-16,0.0,81.0,87.0,73.0
16,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-17,0.0,80.0,84.0,72.0
17,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-18,0.0,77.0,87.0,67.0
18,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-19,0.0,77.0,87.0,67.0
19,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-20,0.0,82.0,89.0,67.0
20,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-21,0.0,79.0,88.0,69.0
21,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-22,0.0,78.0,87.0,69.0
22,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-23,0.0,77.0,83.0,73.0
23,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-24,0.0,79.0,85.0,72.0
24,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-25,0.0,81.0,87.0,70.0
25,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-26,0.0,80.0,90.0,71.0
26,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-27,0.0,78.0,88.0,69.0
27,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-28,0.0,83.0,90.0,72.0
28,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-29,0.0,83.0,92.0,73.0
29,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-30,0.0,83.0,92.0,71.0
30,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-01-31,0.0,79.0,88.0,69.0
31,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-01,0.0,79.0,87.0,69.0
32,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-02,0.0,80.0,91.0,67.0
33,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-03,0.0,83.0,92.0,70.0
34,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-04,0.0,80.0,90.0,66.0
35,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-05,0.0,79.0,89.0,70.0
36,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-06,0.0,78.0,84.0,68.0
37,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-07,0.0,78.0,87.0,67.0
38,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-08,0.0,78.0,87.0,69.0
39,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-09,0.0,81.0,89.0,72.0
40,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-10,0.0,79.0,89.0,70.0
41,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-11,0.0,77.0,87.0,70.0
42,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-12,0.0,79.0,86.0,75.0
43,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-13,0.0,77.0,84.0,72.0
44,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-14,0.0,79.0,86.0,72.0
45,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-15,0.0,80.0,86.0,72.0
46,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-16,0.0,77.0,87.0,72.0
47,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-17,0.0,81.0,90.0,69.0
48,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-18,0.0,80.0,89.0,69.0
49,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-19,0.0,79.0,89.0,69.0
50,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-20,0.0,80.0,91.0,67.0
51,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-21,0.0,80.0,91.0,67.0
52,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-22,0.0,82.0,91.0,66.0
53,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-23,0.0,79.0,89.0,68.0
54,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-24,0.0,85.0,89.0,70.0
55,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-25,0.0,80.0,90.0,68.0
56,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-26,0.0,81.0,90.0,72.0
57,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-27,0.0,82.0,92.0,71.0
58,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-28,0.0,81.0,91.0,71.0
59,RP000098430,"SCIENCE GARDEN, RP",14.633,121.017,46.0,1980-02-29,0.0,81.0,90.0,72.0
